Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,COVID-19 Deaths,Number of Mentions,Flag
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,198,205,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,968,985,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,2537,2584,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,7369,7555,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,18378,18829,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,32164,32832,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,39163,39762,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,38650,39008,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,3,3,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,139430,141763,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,35,37,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,101,101,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,229,234,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,689,705,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,2750,2870,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,6752,7007,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,9361,9704,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,8441,8667,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,1,1,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,28359,29326,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,98,98,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,373,373,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,1023,1023,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,2921,2921,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,6588,6588,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,10052,10052,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,9234,9234,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,6624,6624,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,2,2,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,36915,36915,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Respiratory failure,J96,0-24,166,170,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Respiratory failure,J96,25-34,696,705,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Respiratory failure,J96,35-44,1858,1883,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Respiratory failure,J96,45-54,5658,5747,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Respiratory failure,J96,55-64,14370,14647,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Respiratory failure,J96,65-74,26759,27420,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Respiratory failure,J96,75-84,33252,34112,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Respiratory failure,J96,85+,31782,32416,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Respiratory failure,J96,Not stated,2,2,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Respiratory failure,J96,All Ages,114543,117102,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Respiratory arrest,R09.2,0-24,13,13,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Respiratory arrest,R09.2,25-34,43,43,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Respiratory arrest,R09.2,35-44,107,107,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Respiratory arrest,R09.2,45-54,288,288,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Respiratory arrest,R09.2,55-64,720,720,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Respiratory arrest,R09.2,65-74,1325,1325,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Respiratory arrest,R09.2,75-84,1833,1833,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Respiratory arrest,R09.2,85+,2398,2398,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Respiratory arrest,R09.2,Not stated,0,0,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Respiratory arrest,R09.2,All Ages,6727,6727,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,30,32,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,95,102,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,240,252,
