FIPS Code,County Name,State Abbreviation,State Name,CV Death per 100K,Population,Poverty %,% Older than 65,Median Household Income,Median Home Value,Food Stamp Recipient %,Edu. < College %,Edu. < Highschool %,# of Health Centers,People/Health Centers
02013,Aleutians East,AK,Alaska,106.1,3338,14.8,8.2,64000.0,124700.0,3.8,88.5,14.2,6.0,556.3333333333334
08097,Pitkin,CO,Colorado,133.8,17747,6.9,16.6,74600.0,593600.0,1.2,38.8,4.7,1.0,17747.0
08037,Eagle,CO,Colorado,157.5,53726,7.9,9.4,79600.0,471100.0,2.7,54.9,10.1,5.0,10745.2
08117,Summit,CO,Colorado,171.8,29722,7.9,11.3,70300.0,547700.0,3.0,52.2,6.6,8.0,3715.25
02016,Aleutians West,AK,Alaska,184.7,5784,8.0,5.5,78200.0,238800.0,2.4,83.8,11.7,6.0,964.0
08113,San Miguel,CO,Colorado,186.0,7804,10.1,11.3,67300.0,485000.0,4.3,45.9,6.4,1.0,7804.0
08091,Ouray,CO,Colorado,210.9,4653,8.8,26.4,66800.0,420600.0,4.8,50.6,2.0,,
56039,Teton,WY,Wyoming,215.2,22923,7.3,12.7,84100.0,739100.0,0.6,45.9,4.9,,
51685,Manassas Park,VA,Virginia,221.1,16117,7.8,7.4,72400.0,263300.0,7.6,68.6,17.7,,
16013,Blaine,ID,Idaho,234.1,21583,9.8,16.5,66200.0,390300.0,3.5,59.6,11.3,,
08035,Douglas,CO,Colorado,242.2,320940,3.4,10.4,112400.0,407100.0,1.6,42.0,2.1,1.0,320940.0
12021,Collier,FL,Florida,247.8,356774,11.4,30.2,62400.0,316200.0,8.3,65.1,13.5,19.0,18777.57894736842
51600,Fairfax,VA,Virginia,253.7,23580,6.0,12.2,94700.0,501900.0,4.0,39.3,7.8,,
72143,Vega Alta,PR,Puerto Rico,254.3,38589,,16.3,,118500.0,,80.4,30.2,,
08107,Routt,CO,Colorado,256.8,24359,7.2,13.1,71300.0,460600.0,4.0,48.4,3.9,2.0,12179.5
72135,Toa Alta,PR,Puerto Rico,258.0,74169,,12.3,,142800.0,,69.2,19.6,3.0,24723.0
72019,Barranquitas,PR,Puerto Rico,258.1,29237,,13.7,,90600.0,,82.8,29.9,1.0,29237.0
27019,Carver,MN,Minnesota,258.8,98799,4.3,10.4,94100.0,287200.0,3.1,52.5,3.9,,
06041,Marin,CA,California,261.0,260814,7.8,20.3,103500.0,908800.0,3.9,42.5,6.8,26.0,10031.307692307691
72065,Hatillo,PR,Puerto Rico,261.6,40978,,18.0,,97500.0,,75.2,30.6,7.0,5854.0
72027,Camuy,PR,Puerto Rico,261.9,32936,,17.7,,108300.0,,78.0,28.6,3.0,10978.666666666666
72037,Ceiba,PR,Puerto Rico,261.9,12238,,21.2,,94000.0,,82.3,27.5,,
08093,Park,CO,Colorado,262.4,16900,9.2,18.2,68500.0,262300.0,7.6,71.5,3.6,1.0,16900.0
27163,Washington,MN,Minnesota,266.7,250979,4.5,13.3,90800.0,264300.0,4.1,57.7,3.9,,
72101,Morovis,PR,Puerto Rico,267.0,31785,,13.9,,98000.0,,83.0,32.5,1.0,31785.0
72115,Quebradillas,PR,Puerto Rico,267.8,24548,,17.9,,109600.0,,82.6,29.2,1.0,24548.0
72087,Loiza,PR,Puerto Rico,267.9,27242,,14.9,,105200.0,,86.8,26.2,1.0,27242.0
27037,Dakota,MN,Minnesota,268.6,414655,5.6,12.6,79100.0,238000.0,5.6,58.9,5.3,,
72151,Yabucoa,PR,Puerto Rico,270.3,35025,,17.5,,87800.0,,82.8,32.0,1.0,35025.0
72139,Trujillo Alto,PR,Puerto Rico,270.5,69478,,16.6,,152400.0,,65.1,16.6,1.0,69478.0
72077,Juncos,PR,Puerto Rico,270.6,39704,,14.4,,112800.0,,79.7,26.3,1.0,39704.0
72105,Naranjito,PR,Puerto Rico,270.9,29112,,16.6,,94500.0,,83.1,29.6,2.0,14556.0
72047,Corozal,PR,Puerto Rico,270.9,34933,,16.0,,88900.0,,82.8,31.7,2.0,17466.5
72029,Canovanas,PR,Puerto Rico,270.9,46779,,15.2,,115900.0,,78.8,26.8,,
72035,Cayey,PR,Puerto Rico,271.1,45431,,18.3,,119500.0,,76.3,27.1,,
37037,Chatham,NC,North Carolina,272.9,68364,11.7,22.7,63300.0,251600.0,9.2,59.9,12.7,3.0,22788.0
51107,Loudoun,VA,Virginia,274.0,374558,3.5,8.3,134600.0,475500.0,2.4,40.2,6.5,2.0,187279.0
72031,Carolina,PR,Puerto Rico,274.9,161684,,20.1,,146400.0,,69.0,16.7,1.0,161684.0
72089,Luquillo,PR,Puerto Rico,276.4,18952,,19.2,,109200.0,,80.9,25.2,1.0,18952.0
72129,San Lorenzo,PR,Puerto Rico,276.5,38689,,16.5,,111000.0,,79.6,29.4,2.0,19344.5
16063,Lincoln,ID,Idaho,276.6,5296,12.8,12.6,47800.0,127200.0,11.2,90.9,21.9,,
72063,Gurabo,PR,Puerto Rico,277.1,47074,,14.1,,147500.0,,67.3,21.8,3.0,15691.333333333334
72069,Humacao,PR,Puerto Rico,277.5,54736,,19.0,,97300.0,,77.2,24.7,1.0,54736.0
72119,Rio Grande,PR,Puerto Rico,277.5,51768,,17.7,,114300.0,,80.2,24.4,1.0,51768.0
72041,Cidra,PR,Puerto Rico,278.1,41181,,15.2,,117500.0,,77.2,24.7,1.0,41181.0
72045,Comerio,PR,Puerto Rico,278.8,19914,,16.0,,87800.0,,88.4,35.7,1.0,19914.0
72013,Arecibo,PR,Puerto Rico,278.9,89550,,19.7,,96600.0,,78.0,25.4,2.0,44775.0
72127,San Juan,PR,Puerto Rico,279.0,355181,,20.3,,158000.0,,64.5,20.4,7.0,50740.142857142855
72071,Isabela,PR,Puerto Rico,279.1,43314,,18.1,,103100.0,,79.0,29.6,,
72085,Las Piedras,PR,Puerto Rico,279.7,38253,,15.7,,115600.0,,80.2,22.3,1.0,38253.0
72025,Caguas,PR,Puerto Rico,279.7,134269,,18.2,,133300.0,,70.2,19.9,3.0,44756.333333333336
16025,Camas,ID,Idaho,279.8,886,9.9,20.8,49200.0,173300.0,6.9,79.4,9.5,1.0,886.0
27053,Hennepin,MN,Minnesota,279.9,1224763,10.9,12.9,71200.0,245400.0,10.3,51.8,7.0,36.0,34021.194444444445
72003,Aguada,PR,Puerto Rico,280.0,39470,,16.3,,87500.0,,80.7,34.2,1.0,39470.0
45013,Beaufort,SC,South Carolina,280.0,179316,10.3,24.9,65400.00000000001,283800.0,9.6,60.2,7.3,9.0,19924.0
49053,Washington,UT,Utah,280.1,155577,12.5,19.9,54900.0,240300.0,9.3,71.9,7.6,5.0,31115.4
72117,Rincon,PR,Puerto Rico,280.3,14526,,22.3,,122200.0,,77.2,33.1,1.0,14526.0
27003,Anoka,MN,Minnesota,280.6,344861,6.8,12.5,76500.0,205000.0,7.0,71.3,6.3,,
72061,Guaynabo,PR,Puerto Rico,281.7,90773,,19.7,,191200.0,,54.2,16.0,,
72023,Cabo Rojo,PR,Puerto Rico,281.7,49726,,21.1,,114100.0,,74.3,30.0,,
12115,Sarasota,FL,Florida,282.2,404839,10.8,34.8,55100.0,215300.0,9.7,66.1,7.5,8.0,50604.875
72067,Hormigueros,PR,Puerto Rico,282.4,16474,,25.2,,104700.0,,78.4,26.2,,
27057,Hubbard,MN,Minnesota,282.6,20743,13.1,24.0,49100.0,182700.0,10.9,73.4,7.3,,
35055,Taos,NM,New Mexico,282.6,32809,22.4,23.1,34100.0,218400.0,23.7,72.3,12.5,8.0,4101.125
72007,Aguas Buenas,PR,Puerto Rico,283.9,26855,,17.2,,115000.0,,83.2,33.1,2.0,13427.5
72131,San Sebastian,PR,Puerto Rico,284.1,38970,,20.8,,99900.0,,81.8,35.8,3.0,12990.0
